
0.0s: NORMAL LIMIT-(0.0, -5.0)
19.19s: NORMAL LIMIT-(0.0, -5.0)
19.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 841
19.80s: NORMAL LIMIT-(0.0, -5.0)
20.39s: NORMAL LIMIT-(0.0, -5.0)
20.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 844
21.0s: NORMAL LIMIT-(0.0, -5.0)
21.59s: NORMAL LIMIT-(0.0, -5.0)
22.19s: NORMAL LIMIT-(0.0, -5.0)
22.80s: NORMAL LIMIT-(0.0, -5.0)
22.80s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 797
23.39s: NORMAL LIMIT-(0.0, -5.0)
24.0s: NORMAL LIMIT-(0.0, -5.0)
24.59s: NORMAL LIMIT-(0.0, -5.0)
24.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
25.19s: NORMAL LIMIT-(0.0, -5.0)
25.80s: NORMAL LIMIT-(0.0, -5.0)
26.39s: NORMAL LIMIT-(0.0, -5.0)
26.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
27.0s: NORMAL LIMIT-(0.0, -5.0)
27.59s: NORMAL LIMIT-(0.0, -5.0)
28.19s: NORMAL LIMIT-(0.0, -5.0)
28.79s: NORMAL LIMIT-(0.0, -5.0)
28.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
29.39s: NORMAL LIMIT-(0.0, -5.0)
30.0s: NORMAL LIMIT-(0.0, -5.0)
30.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 799
30.59s: NORMAL LIMIT-(0.0, -5.0)
31.19s: NORMAL LIMIT-(0.0, -5.0)
31.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 801
31.79s: NORMAL LIMIT-(0.0, -5.0)
32.39s: NORMAL LIMIT-(0.0, -5.0)
32.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 792
33.0s: NORMAL LIMIT-(0.0, -5.0)
33.60s: NORMAL LIMIT-(0.0, -5.0)
33.60s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
34.19s: NORMAL LIMIT-(0.0, -5.0)
34.79s: NORMAL LIMIT-(0.0, -5.0)
35.39s: NORMAL LIMIT-(0.0, -5.0)
35.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
36.0s: NORMAL LIMIT-(0.0, -5.0)
36.60s: NORMAL LIMIT-(0.0, -5.0)
36.60s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
37.19s: NORMAL LIMIT-(0.0, -5.0)
37.79s: NORMAL LIMIT-(0.0, -5.0)
37.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 794
38.39s: NORMAL LIMIT-(0.0, -5.0)
39.0s: NORMAL LIMIT-(0.0, -5.0)
39.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 792
39.60s: NORMAL LIMIT-(0.0, -5.0)
40.19s: NORMAL LIMIT-(0.0, -5.0)
40.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 799
40.79s: NORMAL LIMIT-(0.0, -5.0)
41.39s: NORMAL LIMIT-(0.0, -5.0)
42.0s: NORMAL LIMIT-(0.0, -5.0)
42.60s: NORMAL LIMIT-(0.0, -5.0)
43.19s: NORMAL LIMIT-(0.0, -5.0)
43.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 773
43.79s: NORMAL LIMIT-(0.0, -5.0)
44.39s: NORMAL LIMIT-(0.0, -5.0)
44.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 785
45.0s: NORMAL LIMIT-(0.0, -5.0)
45.60s: NORMAL LIMIT-(0.0, -5.0)
45.60s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
46.19s: NORMAL LIMIT-(0.0, -5.0)
46.79s: NORMAL LIMIT-(0.0, -5.0)
46.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
47.39s: NORMAL LIMIT-(0.0, -5.0)
48.0s: NORMAL LIMIT-(0.0, -5.0)
48.60s: NORMAL LIMIT-(0.0, -5.0)
48.60s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
49.19s: NORMAL LIMIT-(0.0, -5.0)
49.79s: NORMAL LIMIT-(0.0, -5.0)
50.39s: NORMAL LIMIT-(0.0, -5.0)
50.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 778
51.0s: NORMAL LIMIT-(0.0, -5.0)
51.60s: NORMAL LIMIT-(0.0, -5.0)
52.19s: NORMAL LIMIT-(0.0, -5.0)
52.79s: NORMAL LIMIT-(0.0, -5.0)
52.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 769
53.39s: NORMAL LIMIT-(0.0, -5.0)
54.0s: NORMAL LIMIT-(0.0, -5.0)
54.60s: NORMAL LIMIT-(0.0, -5.0)
55.19s: NORMAL LIMIT-(0.0, -5.0)
55.79s: NORMAL LIMIT-(0.0, -5.0)
55.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 802
56.39s: NORMAL LIMIT-(0.0, -5.0)
57.0s: NORMAL LIMIT-(0.0, -5.0)
57.59s: NORMAL LIMIT-(0.0, -5.0)
58.19s: NORMAL LIMIT-(0.0, -5.0)
58.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
58.79s: NORMAL LIMIT-(0.0, -5.0)
59.39s: NORMAL LIMIT-(0.0, -5.0)
60.0s: NORMAL LIMIT-(0.0, -5.0)
60.59s: NORMAL LIMIT-(0.0, -5.0)
60.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 791
61.19s: NORMAL LIMIT-(0.0, -5.0)
61.79s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1003
62.39s: NORMAL LIMIT-(0.0, -5.0)
63.0s: NORMAL LIMIT-(0.0, -5.0)
63.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 923
64.20s: NORMAL LIMIT-(0.0, -5.0)
65.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 788
66.0s: NORMAL LIMIT-(0.0, -5.0)
66.59s: NORMAL LIMIT-(0.0, -5.0)
66.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 880
67.20s: NORMAL LIMIT-(0.0, -5.0)
67.79s: NORMAL LIMIT-(0.0, -5.0)
68.39s: NORMAL LIMIT-(0.0, -5.0)
69.0s: NORMAL LIMIT-(0.0, -5.0)
69.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 813
69.59s: NORMAL LIMIT-(0.0, -5.0)
70.20s: NORMAL LIMIT-(0.0, -5.0)
70.20s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 851
70.79s: NORMAL LIMIT-(0.0, -5.0)
71.39s: NORMAL LIMIT-(0.0, -5.0)
72.0s: NORMAL LIMIT-(0.0, -5.0)
72.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 805
72.59s: NORMAL LIMIT-(0.0, -5.0)
73.20s: NORMAL LIMIT-(0.0, -5.0)
73.20s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 829
73.79s: NORMAL LIMIT-(0.0, -5.0)
74.39s: NORMAL LIMIT-(0.0, -5.0)
75.0s: NORMAL LIMIT-(0.0, -5.0)
75.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 896
75.59s: YELLOW LIMIT-(-5.0, -9.8)
76.20s: NORMAL LIMIT-(0.0, -5.0)
77.39s: NORMAL LIMIT-(0.0, -5.0)
78.0s: NORMAL LIMIT-(0.0, -5.0)
78.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 820
79.20s: NORMAL LIMIT-(0.0, -5.0)
79.79s: NORMAL LIMIT-(0.0, -5.0)
79.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 878
80.39s: NORMAL LIMIT-(0.0, -5.0)
81.0s: NORMAL LIMIT-(0.0, -5.0)
81.59s: NORMAL LIMIT-(0.0, -5.0)
82.20s: NORMAL LIMIT-(0.0, -5.0)
82.20s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 881
82.79s: NORMAL LIMIT-(0.0, -5.0)
83.39s: NORMAL LIMIT-(0.0, -5.0)
84.0s: NORMAL LIMIT-(0.0, -5.0)
85.20s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1051
87.59s: NORMAL LIMIT-(0.0, -5.0)
88.20s: NORMAL LIMIT-(0.0, -5.0)
90.59s: NORMAL LIMIT-(0.0, -5.0)
90.59s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1184
91.20s: NORMAL LIMIT-(0.0, -5.0)
91.79s: NORMAL LIMIT-(0.0, -5.0)
92.39s: NORMAL LIMIT-(0.0, -5.0)
93.0s: NORMAL LIMIT-(0.0, -5.0)
93.59s: NORMAL LIMIT-(0.0, -5.0)
94.20s: NORMAL LIMIT-(0.0, -5.0)
94.79s: NORMAL LIMIT-(0.0, -5.0)
94.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 866
95.39s: YELLOW LIMIT-(-5.0, -9.8)
96.0s: NORMAL LIMIT-(0.0, -5.0)
96.59s: NORMAL LIMIT-(0.0, -5.0)
96.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 811
97.20s: NORMAL LIMIT-(0.0, -5.0)
97.79s: NORMAL LIMIT-(0.0, -5.0)
97.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 814
98.39s: NORMAL LIMIT-(0.0, -5.0)
99.0s: NORMAL LIMIT-(0.0, -5.0)
99.59s: NORMAL LIMIT-(0.0, -5.0)
100.20s: NORMAL LIMIT-(0.0, -5.0)
100.79s: NORMAL LIMIT-(0.0, -5.0)
101.39s: NORMAL LIMIT-(0.0, -5.0)
102.0s: NORMAL LIMIT-(0.0, -5.0)
102.59s: NORMAL LIMIT-(0.0, -5.0)
102.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 815
103.20s: NORMAL LIMIT-(0.0, -5.0)
103.79s: NORMAL LIMIT-(0.0, -5.0)
104.39s: NORMAL LIMIT-(0.0, -5.0)
105.0s: NORMAL LIMIT-(0.0, -5.0)
105.59s: NORMAL LIMIT-(0.0, -5.0)
105.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 809
106.20s: NORMAL LIMIT-(0.0, -5.0)
106.79s: NORMAL LIMIT-(0.0, -5.0)
106.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 787
107.39s: NORMAL LIMIT-(0.0, -5.0)
108.0s: NORMAL LIMIT-(0.0, -5.0)
108.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 805
108.59s: NORMAL LIMIT-(0.0, -5.0)
109.20s: NORMAL LIMIT-(0.0, -5.0)
109.79s: NORMAL LIMIT-(0.0, -5.0)
109.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 789
110.39s: NORMAL LIMIT-(0.0, -5.0)
111.0s: NORMAL LIMIT-(0.0, -5.0)
111.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 788
111.59s: NORMAL LIMIT-(0.0, -5.0)
112.20s: NORMAL LIMIT-(0.0, -5.0)
112.79s: NORMAL LIMIT-(0.0, -5.0)
112.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 792
113.39s: NORMAL LIMIT-(0.0, -5.0)
114.0s: NORMAL LIMIT-(0.0, -5.0)
114.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 789
114.59s: NORMAL LIMIT-(0.0, -5.0)
115.19s: NORMAL LIMIT-(0.0, -5.0)
115.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 785
115.79s: NORMAL LIMIT-(0.0, -5.0)
116.39s: NORMAL LIMIT-(0.0, -5.0)
116.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 799
117.0s: NORMAL LIMIT-(0.0, -5.0)
117.59s: NORMAL LIMIT-(0.0, -5.0)
118.19s: NORMAL LIMIT-(0.0, -5.0)
118.79s: NORMAL LIMIT-(0.0, -5.0)
119.39s: NORMAL LIMIT-(0.0, -5.0)
119.39s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
120.0s: NORMAL LIMIT-(0.0, -5.0)
120.59s: NORMAL LIMIT-(0.0, -5.0)
120.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 784
121.19s: NORMAL LIMIT-(0.0, -5.0)
121.79s: NORMAL LIMIT-(0.0, -5.0)
121.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 782
122.39s: NORMAL LIMIT-(0.0, -5.0)
123.0s: NORMAL LIMIT-(0.0, -5.0)
123.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 804
123.59s: NORMAL LIMIT-(0.0, -5.0)
124.19s: NORMAL LIMIT-(0.0, -5.0)
124.79s: NORMAL LIMIT-(0.0, -5.0)
125.39s: NORMAL LIMIT-(0.0, -5.0)
126.0s: NORMAL LIMIT-(0.0, -5.0)
126.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 796
126.59s: NORMAL LIMIT-(0.0, -5.0)
127.19s: NORMAL LIMIT-(0.0, -5.0)
127.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 800
127.79s: NORMAL LIMIT-(0.0, -5.0)
128.40s: NORMAL LIMIT-(0.0, -5.0)
129.0s: NORMAL LIMIT-(0.0, -5.0)
129.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 785
129.59s: NORMAL LIMIT-(0.0, -5.0)
130.19s: NORMAL LIMIT-(0.0, -5.0)
130.19s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1476
132.0s: NORMAL LIMIT-(0.0, -5.0)
132.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1018
132.59s: NORMAL LIMIT-(0.0, -5.0)
133.19s: NORMAL LIMIT-(0.0, -5.0)
133.79s: NORMAL LIMIT-(0.0, -5.0)
135.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 938
135.59s: NORMAL LIMIT-(0.0, -5.0)
136.19s: NORMAL LIMIT-(0.0, -5.0)
136.79s: NORMAL LIMIT-(0.0, -5.0)
137.40s: NORMAL LIMIT-(0.0, -5.0)
138.0s: NORMAL LIMIT-(0.0, -5.0)
138.59s: NORMAL LIMIT-(0.0, -5.0)
139.19s: NORMAL LIMIT-(0.0, -5.0)
139.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 862
139.79s: YELLOW LIMIT-(-5.0, -9.8)
140.40s: NORMAL LIMIT-(0.0, -5.0)
141.0s: NORMAL LIMIT-(0.0, -5.0)
141.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 824
141.59s: NORMAL LIMIT-(0.0, -5.0)
142.19s: NORMAL LIMIT-(0.0, -5.0)
142.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 835
142.79s: NORMAL LIMIT-(0.0, -5.0)
143.40s: NORMAL LIMIT-(0.0, -5.0)
143.40s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 828
144.0s: NORMAL LIMIT-(0.0, -5.0)
144.59s: NORMAL LIMIT-(0.0, -5.0)
144.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 830
145.19s: NORMAL LIMIT-(0.0, -5.0)
145.79s: NORMAL LIMIT-(0.0, -5.0)
146.40s: NORMAL LIMIT-(0.0, -5.0)
147.0s: NORMAL LIMIT-(0.0, -5.0)
147.59s: NORMAL LIMIT-(0.0, -5.0)
147.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 791
148.19s: NORMAL LIMIT-(0.0, -5.0)
148.79s: NORMAL LIMIT-(0.0, -5.0)
149.40s: NORMAL LIMIT-(0.0, -5.0)
150.0s: NORMAL LIMIT-(0.0, -5.0)
150.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 802
150.59s: NORMAL LIMIT-(0.0, -5.0)
151.19s: NORMAL LIMIT-(0.0, -5.0)
151.79s: NORMAL LIMIT-(0.0, -5.0)
151.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 781
152.40s: NORMAL LIMIT-(0.0, -5.0)
153.0s: NORMAL LIMIT-(0.0, -5.0)
153.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 785
153.59s: NORMAL LIMIT-(0.0, -5.0)
154.19s: NORMAL LIMIT-(0.0, -5.0)
154.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 809
154.79s: NORMAL LIMIT-(0.0, -5.0)
155.40s: NORMAL LIMIT-(0.0, -5.0)
156.0s: NORMAL LIMIT-(0.0, -5.0)
156.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 798
156.59s: NORMAL LIMIT-(0.0, -5.0)
157.19s: NORMAL LIMIT-(0.0, -5.0)
157.19s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 798
157.79s: NORMAL LIMIT-(0.0, -5.0)
158.40s: NORMAL LIMIT-(0.0, -5.0)
158.40s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 792
159.0s: NORMAL LIMIT-(0.0, -5.0)
159.59s: NORMAL LIMIT-(0.0, -5.0)
159.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 803
160.19s: NORMAL LIMIT-(0.0, -5.0)
160.79s: NORMAL LIMIT-(0.0, -5.0)
160.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 784
161.40s: NORMAL LIMIT-(0.0, -5.0)
162.0s: NORMAL LIMIT-(0.0, -5.0)
162.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 806
162.59s: NORMAL LIMIT-(0.0, -5.0)
163.19s: NORMAL LIMIT-(0.0, -5.0)
163.79s: NORMAL LIMIT-(0.0, -5.0)
163.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 795
164.40s: NORMAL LIMIT-(0.0, -5.0)
165.0s: NORMAL LIMIT-(0.0, -5.0)
165.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 799
165.59s: NORMAL LIMIT-(0.0, -5.0)
166.19s: NORMAL LIMIT-(0.0, -5.0)
166.79s: NORMAL LIMIT-(0.0, -5.0)
167.40s: NORMAL LIMIT-(0.0, -5.0)
168.0s: NORMAL LIMIT-(0.0, -5.0)
168.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 800
168.59s: NORMAL LIMIT-(0.0, -5.0)
169.19s: NORMAL LIMIT-(0.0, -5.0)
169.79s: NORMAL LIMIT-(0.0, -5.0)
170.40s: NORMAL LIMIT-(0.0, -5.0)
171.59s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1379
173.40s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1414
174.0s: NORMAL LIMIT-(0.0, -5.0)
174.59s: NORMAL LIMIT-(0.0, -5.0)
177.0s: NORMAL LIMIT-(0.0, -5.0)
177.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1065
177.59s: NORMAL LIMIT-(0.0, -5.0)
178.19s: NORMAL LIMIT-(0.0, -5.0)
178.79s: NORMAL LIMIT-(0.0, -5.0)
179.40s: NORMAL LIMIT-(0.0, -5.0)
180.0s: NORMAL LIMIT-(0.0, -5.0)
180.59s: NORMAL LIMIT-(0.0, -5.0)
181.19s: NORMAL LIMIT-(0.0, -5.0)
181.79s: NORMAL LIMIT-(0.0, -5.0)
181.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 864
182.40s: NORMAL LIMIT-(0.0, -5.0)
183.0s: NORMAL LIMIT-(0.0, -5.0)
183.59s: NORMAL LIMIT-(0.0, -5.0)
184.79s: NORMAL LIMIT-(0.0, -5.0)
185.40s: NORMAL LIMIT-(0.0, -5.0)
185.40s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1031
186.0s: NORMAL LIMIT-(0.0, -5.0)
186.59s: NORMAL LIMIT-(0.0, -5.0)
187.19s: YELLOW LIMIT-(-5.0, -9.8)
187.79s: NORMAL LIMIT-(0.0, -5.0)
188.40s: NORMAL LIMIT-(0.0, -5.0)
189.0s: NORMAL LIMIT-(0.0, -5.0)
189.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 630
191.40s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 889
192.0s: NORMAL LIMIT-(0.0, -5.0)
192.59s: YELLOW LIMIT-(-5.0, -9.8)
192.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 883
193.19s: NORMAL LIMIT-(0.0, -5.0)
193.79s: NORMAL LIMIT-(0.0, -5.0)
194.40s: NORMAL LIMIT-(0.0, -5.0)
194.40s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 777
198.0s: NORMAL LIMIT-(0.0, -5.0)
198.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1666
198.59s: NORMAL LIMIT-(0.0, -5.0)
199.79s: NORMAL LIMIT-(0.0, -5.0)
199.79s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1448
201.0s: NORMAL LIMIT-(0.0, -5.0)
201.59s: NORMAL LIMIT-(0.0, -5.0)
202.19s: NORMAL LIMIT-(0.0, -5.0)
202.79s: NORMAL LIMIT-(0.0, -5.0)
203.40s: NORMAL LIMIT-(0.0, -5.0)
203.40s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 878
204.0s: NORMAL LIMIT-(0.0, -5.0)
204.59s: NORMAL LIMIT-(0.0, -5.0)
207.59s: NORMAL LIMIT-(0.0, -5.0)
207.59s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 939
208.19s: NORMAL LIMIT-(0.0, -5.0)
208.79s: NORMAL LIMIT-(0.0, -5.0)
209.40s: NORMAL LIMIT-(0.0, -5.0)
210.0s: YELLOW LIMIT-(-5.0, -9.8)
210.59s: NORMAL LIMIT-(0.0, -5.0)
211.19s: NORMAL LIMIT-(0.0, -5.0)
211.79s: NORMAL LIMIT-(0.0, -5.0)
212.40s: NORMAL LIMIT-(0.0, -5.0)
213.0s: NORMAL LIMIT-(0.0, -5.0)
213.0s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 950
213.59s: NORMAL LIMIT-(0.0, -5.0)
216.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1411
219.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1492
219.59s: NORMAL LIMIT-(0.0, -5.0)
220.19s: NORMAL LIMIT-(0.0, -5.0)
220.79s: NORMAL LIMIT-(0.0, -5.0)
220.79s: Categoria: NORMAL LIMIT-(0, 1000); RPM: 864
221.40s: NORMAL LIMIT-(0.0, -5.0)
222.0s: NORMAL LIMIT-(0.0, -5.0)
222.0s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1413
225.59s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1845
231.0s: NORMAL LIMIT-(0.0, -5.0)
231.59s: Categoria: YELLOW LIMIT-(1000, 2000); RPM: 1679
234.59s: NORMAL LIMIT-(0.0, -5.0)
